mode,S0,params_file,C0_Wh,k_age,area_ratio,dt_s,thermal_enabled,tau_s,kappa_k_per_w,T_amb_c,T0_c,T_ref,alpha_minus,beta_minus,alpha_plus,beta_plus,gamma,tte_s,tte_h,steps,avg_power_W,E_total_Wh,T_end_c,E_P_base_Wh,E_P_scr_Wh,E_P_cpu_Wh,E_P_wifi_Wh,E_P_4g_Wh,E_P_5g_Wh,E_P_gps_Wh,E_P_bg_sw_Wh,E_P_bg_int_Wh,share_P_base,share_P_scr,share_P_cpu,share_P_wifi,share_P_4g,share_P_5g,share_P_gps,share_P_bg_sw,share_P_bg_int
video_wifi,0.2,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,8763.573282818388,2.4343259118939966,8764,0.5367908245175832,1.306723813390096,63.63447371011994,0.3000622847600213,0.7191424426070779,0.1349376956424476,0.14145570523317844,0.0,0.0,0.0,0.0,0.01112568514735505,0.2296294608587222,0.5503400452627953,0.10326412839479238,0.1082521828895068,0.0,0.0,0.0,0.0,0.008514182594171261
video_wifi,0.5,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,21493.257436606884,5.970349287946356,21494,0.5367832327981362,3.204783391717896,63.64705724756588,0.7359126824091548,1.7637206368553136,0.3309391636396176,0.3469247978414265,0.0,0.0,0.0,0.0,0.027286110971837595,0.22962946085871822,0.5503400452627429,0.10326412839471831,0.108252182889484,0.0,0.0,0.0,0.0,0.008514182594166253
video_wifi,0.8,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,34222.75531168072,9.50632091991131,34223,0.5367685260925315,5.102693868743391,63.64705755712277,1.1717288420066267,2.8082167746860907,0.5269252348207627,0.5523777499082285,0.0,0.0,0.0,0.0,0.0434452673206073,0.2296294608587172,0.5503400452627296,0.10326412839469935,0.10825218288947817,0.0,0.0,0.0,0.0,0.008514182594164971
shortvideo_highbright_wifi,0.2,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,5966.006076691103,1.657223910191973,5967,0.7090410259505692,1.1750397415123304,75.8292836609019,0.20429845426322985,0.7188533454350193,0.09187280122073002,0.09631061080856965,0.0,0.0,0.0,0.033404683470556466,0.030299846314139837,0.17386514433995934,0.6117693896121521,0.07818697357630261,0.08196370506125474,0.0,0.0,0.0,0.02842855632062546,0.02578623108963322
shortvideo_highbright_wifi,0.5,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,14328.069502520508,3.9800193062556968,14329,0.7089689600426898,2.8217101485059293,76.04225025527835,0.4905970422554987,1.7262358952129797,0.22062097682110046,0.2312778183804605,0.0,0.0,0.0,0.08021714587725888,0.07276126995728992,0.1738651443399548,0.6117693896118305,0.07818697357626095,0.08196370506124454,0.0,0.0,0.0,0.028428556320617537,0.025786231089616477
shortvideo_highbright_wifi,0.8,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,22687.399828963637,6.302055508045455,22688,0.7089416747748261,4.467789786397662,76.04245012181516,0.7767929160928205,2.7332570305384767,0.3493229619733663,0.36619660432801315,0.0,0.0,0.0,0.12701281357130143,0.11520745989188523,0.17386514434000294,0.6117693896118324,0.07818697357626178,0.0819637050612612,0.0,0.0,0.0,0.028428556320621048,0.025786231089618014
browsing_wifi_lowbright,0.2,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,14795.425137551001,4.109840315986389,14796,0.3659165369734756,1.5038585359397143,51.344937411716465,0.5065862123813546,0.41836169693886116,0.2009141646285821,0.238815451235767,0.0,0.0,0.0,0.08283152281386855,0.05634948794166695,0.3368576234232063,0.27819218825488795,0.13359911176953695,0.15880180584042677,0.0,0.0,0.0,0.05507933148918805,0.0374699392230107
browsing_wifi_lowbright,0.5,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,36812.03833746966,10.225566204852683,36813,0.36591187886175847,3.741656142442946,51.3449670529573,1.2604053958095534,1.0408995099631915,0.4998819371765639,0.5941817522535044,0.0,0.0,0.0,0.20608791898783246,0.14019962825066945,0.33685762342304076,0.2781921882547932,0.1335991117693109,0.15880180584033043,0.0,0.0,0.0,0.0550793314890974,0.03746993922299135
browsing_wifi_lowbright,0.8,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,58828.651019962876,16.34129194998969,58829,0.36590449076565523,5.979352109413878,51.3449670529573,2.0141903411860906,1.6634090476633168,0.7988361307730647,0.9495319127297959,0.0,0.0,0.0,0.3293387169245336,0.22404596013278355,0.33685762342293807,0.278192188254719,0.13359911176921307,0.1588018058402774,0.0,0.0,0.0,0.05507933148911292,0.03746993922302152
social_wifi,0.2,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,11066.680771208103,3.074077992002251,11067,0.45303892102605103,1.3926769766466294,57.616609827158186,0.3789125177361371,0.5680067382791242,0.12087892717961954,0.1786273721834373,0.0,0.0,0.0,0.06195569498385261,0.08429572628420016,0.2720749492452336,0.407852465290842,0.0867960978795521,0.1282618835370905,0.0,0.0,0.0,0.04448676615092268,0.060527837896173484
