T_ref,mse,alpha_minus,beta_minus,alpha_plus,beta_plus
16.798106433056283,0.07020571604796083,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10
17.298106433056283,0.07044308299307332,0.1000000001,0.1000000001,0.030578277632162924,1.000000000000056e-10
17.798106433056283,0.07071589512146975,0.1000000001,0.1000000001,0.03200679658255669,1.0000000000000186e-10
18.298106433056283,0.07103140796581418,0.1000000001,0.1000000001,0.033561565934790635,1.002036148049444e-10
18.798106433056283,0.07139876673488516,0.1000000001,0.1000000001,0.03525714935424397,1.000461904918094e-10
19.298106433056283,0.0715326280190969,1.76455877265627,1.0000159310656273e-10,0.03711540039087561,1.0000000403388032e-10
19.798106433056283,0.07184120505225672,0.8212273531136999,6.883345924462694e-10,0.039158863447215954,1.0000000002488404e-10
20.298106433056283,0.07202051037974064,0.5843667168115452,9.382635620798995e-10,0.041420006508426525,1.0000000145945814e-10
20.798106433056283,0.07236037953431833,0.42046756669093227,2.832266008484882e-10,0.04392341428925378,1.0000000160998369e-10
21.298106433056283,0.07264913823796225,0.33267347326277225,1.2480950733621186e-10,0.04671869609907459,1.000000005636912e-10
21.798106433056283,0.0729539150555558,0.2728226567547654,1.3373258414798737e-10,0.04985543411112497,1.0000000448827902e-10
22.298106433056283,0.07300747153266327,0.23802495392983367,1.1965658846211107e-10,0.0534444069842581,1.000000108107583e-10
22.798106433056283,0.07266055385012334,0.21409614604359972,1.047279133398533e-10,0.057659736065637526,1.0000001369413641e-10
23.298106433056283,0.07231424357394438,0.18777115246307832,1.004081983433048e-10,0.06264353789955936,1.0000000680183014e-10
23.798106433056283,0.07232638096217119,0.1607903520439399,1.000091938465477e-10,0.06851962001573735,1.0000000134647472e-10
24.298106433056283,0.07284296773633703,0.13691434431461622,1.0000000000001744e-10,0.0754012951393791,1.0000000030446103e-10
24.798106433056283,0.07385381489316388,0.11768400553941338,1.0000002880097998e-10,0.08341980816591606,1.0000000000000004e-10
25.298106433056283,0.07550332188898964,0.10248397137368467,1.0000027955990318e-10,0.09251659954573299,1.0000000000000153e-10
25.798106433056283,0.07769401497556544,0.09152565535244002,1.0000000082799251e-10,0.1025178300054473,1.0000000000000002e-10
26.298106433056283,0.07959816103623153,0.08577646453125407,1.0000052213548329e-10,0.11398716925927019,1.0000000002849675e-10
26.798106433056283,0.08118048553118133,0.08253868626120243,1.0000000016742184e-10,0.12723145727173554,1.000000000001874e-10
27.298106433056283,0.08252551539867442,0.08024936713859737,1.0000000007325637e-10,0.1419512018785692,1.0000000000000002e-10
27.798106433056283,0.08340585331752924,0.07835529261041602,1.0000000161760819e-10,0.15809482304292177,1.0000000000000017e-10
28.298106433056283,0.08383438621708152,0.07620304795099034,1.0000000928036841e-10,0.17497486474205662,1.0000000718246671e-10
28.798106433056283,0.083761445804558,0.07364501650218123,1.0000023930676681e-10,0.19109620915294984,1.0000045606488433e-10
29.298106433056283,0.0834073604066077,0.07062514160887032,1.0000037061602907e-10,0.1979694560947155,1.0000167837917527e-10
29.798106433056283,0.0820854030028186,0.06744830281814074,1.0000000191695359e-10,0.20590317061808064,1.0000001897021892e-10
30.298106433056283,0.08033748011531841,0.0639896102530727,1.0000000000000002e-10,0.2249578809974102,1.001883244847179e-10
30.798106433056283,0.07871532490694337,0.060352791372634405,1.0000000000000002e-10,0.2547320642069548,1.0761379346636108e-10
31.298106433056283,0.07730396275822024,0.05674596018160137,1.000000000000072e-10,0.3058942441997321,1.0000043404027158e-10
31.798106433056283,0.07601755030953716,0.053310494615008495,1.0000000000000004e-10,0.4558837841687109,1.0000000051103496e-10
32.29810643305628,0.07508182679891325,0.05009683650028356,1.0000000000000114e-10,0.609450462140278,1.0000000382400469e-10
32.79810643305628,0.07413293574378811,0.04714276775731406,1.0000346586987646e-10,0.1000000001,0.1000000001
33.29810643305628,0.0732555240934339,0.04442721207299295,1.0000736678766272e-10,0.1000000001,0.1000000001
33.79810643305628,0.07253666671544463,0.041936886091082606,1.0001600421318096e-10,0.1000000001,0.1000000001
34.29810643305628,0.07194207060253936,0.03966090189215768,1.0003533665653588e-10,0.1000000001,0.1000000001
